title,rate,num,info,director,actor,time,country,type
杀人回忆,8.9,706071人,关于连环杀人悬案的集体回忆。,奉俊昊Joon-hoBong,宋康昊Kang-hoSong,2003,韩国,剧情
七宗罪,8.8,934463人,警察抓小偷，老鼠玩死猫。,大卫·芬奇DavidFincher,摩根·弗里曼MorganFreeman,1995,美国,剧情
红辣椒,9.1,457942人,梦的勾结。,今敏SatoshiKon,林原惠美MegumiHayashibara,2006,日本,动画
加勒比海盗,8.8,848974人,约翰尼·德普的独角戏。,戈尔·维宾斯基GoreVerbinski,约翰尼·德普JohnnyDepp,2003,美国,动作
哈利·波特与密室,8.9,745586人,魔法的密室之门已打开...,ChrisColumbus,丹尼尔·雷德克里夫DanielRadcliffe,2002,英国,奇幻
狩猎,9.1,385534人,人言可畏。,托马斯·温特伯格ThomasVinterberg,麦斯·米科尔森MadsMik,2012,丹麦,剧情
一一,9.1,388451人,我们都曾经是一一。,杨德昌EdwardYang,吴念真,2000,中国台湾,剧情
唐伯虎点秋香,8.7,1068054人,华太师是黄霑，吴镇宇四大才子之一。,李力持Lik-ChiLee,周星驰StephenChow,1993,中国香港,喜剧
7号房的礼物,8.9,552289人,《我是山姆》的《美丽人生》。,李焕庆Hwan-kyeongLee,柳承龙Seung-yongRyoo,2013,韩国,剧情
被嫌弃的松子的一生,8.9,698387人,以戏谑来戏谑戏谑。,中岛哲也TetsuyaNakashima,中谷美纪MikiNakatani,2006,日本,剧情
请以你的名字呼唤我,8.9,714669人,沉醉在电影的情感和视听氛围中无法自拔。,卢卡·瓜达尼诺LucaGuadagnino,艾米·汉莫ArmieHamme,2017,意大利,剧情
断背山,8.8,701859人,每个人心中都有一座断背山。,李安AngLee,希斯·莱杰HeathLedger,2005,美国,剧情
剪刀手爱德华,8.7,1026732人,浪漫忧郁的成人童话。,蒂姆·波顿TimBurton,约翰尼·德普JohnnyDepp,1990,美国,剧情
入殓师,8.9,659657人,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎YôjirôTakita,本木雅弘MasahiroMotoki,2008,日本,剧情
爱在黎明破晓前,8.8,675166人,缘分是个连绵词，最美不过一瞬。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,1995,美国,剧情
勇敢的心,8.9,555486人,史诗大片的典范。,梅尔·吉布森MelGibson,梅尔·吉布森MelGibson,1995,美国,动作
第六感,8.9,550525人,深入内心的恐怖，出人意料的结局。,M·奈特·沙马兰M.NightShyamalan,布鲁斯·威利斯BruceWi,1999,美国,剧情
蝙蝠侠：黑暗骑士崛起,8.8,711913人,诺兰就是保证。,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2012,美国,剧情
重庆森林,8.8,802839人,寂寞没有期限。,王家卫KarWaiWong,林青霞BrigitteLin,1994,中国香港,剧情
幽灵公主,8.9,519191人,人与自然的战争史诗。,宫崎骏HayaoMiyazaki,松田洋治YôjiMatsuda,1997,日本,动画
